kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt,translated,spam
youtube#comment,2895557,15366,0,2425288,"The, uh, *shape* of the containers is something else 😳",,4,2022-09-23 19:12:24+00:00,2022-09-23 19:12:24+00:00,"The, uh, *shape* of the containers is something else 😳",mild gibberish
youtube#comment,101047,29145,0,3378074,And with perfect people like you â¤ï¸ðŸŒ¸,2214515.0,1,2021-11-11 03:33:45+00:00,2021-11-11 03:33:45+00:00,And with perfect people like you â¤ï¸ðŸŒ¸,word salad
youtube#comment,2555,30692,0,3456989,Please don't call me sir😅😅 best part is you reply to every component,2452518.0,1,2020-02-12 15:27:17+00:00,2020-02-12 15:27:17+00:00,Please don't call me sir😅😅 best part is you reply to every component,mild gibberish
youtube#comment,1822478,15366,0,3390312,Lol All you need is to put your hair in two ponytails and you'll look like Harley Quinn! You could definitely pull that look off!,,33,2022-09-23 19:26:44+00:00,2022-09-23 19:26:44+00:00,Lol All you need is to put your hair in two ponytails and you'll look like Harley Quinn! You could definitely pull that look off!,clean
youtube#comment,2539,30692,0,259614,"It's ""for the record"" by Ooyy",1275651.0,0,2020-02-13 16:16:00+00:00,2020-02-13 16:16:00+00:00,"It's ""for the record"" by Ooyy",clean
youtube#comment,2997236,4942,0,1872074,All that to look just above average teanage boy,,0,2024-03-22 14:25:29+00:00,2024-03-22 14:25:29+00:00,All that to look just above average teanage boy,mild gibberish
youtube#comment,2515,30692,0,780506,Alright,1558784.0,0,2020-02-12 13:10:35+00:00,2020-02-12 13:10:35+00:00,Alright,mild gibberish
youtube#comment,4662277,15366,0,2916157,Please show us what these are like in the sun.,,0,2022-09-25 23:36:49+00:00,2022-09-25 23:36:49+00:00,Please show us what these are like in the sun.,clean
youtube#comment,96146,51730,0,2607618,"This is a great point, thank you!",2309738.0,0,2021-10-17 04:26:39+00:00,2021-10-17 04:26:39+00:00,"This is a great point, thank you!",clean
youtube#comment,4275012,15366,0,2230360,Pretty brave to try it anyway after dreaming that it would stain 😉,,1,2022-09-23 20:27:08+00:00,2022-09-23 20:27:08+00:00,Pretty brave to try it anyway after dreaming that it would stain 😉,clean
youtube#comment,7006,30692,0,780506,Share it. Share it. Share it,556493.0,0,2020-04-20 14:08:28+00:00,2020-04-20 14:08:28+00:00,Share it. Share it. Share,clean
youtube#comment,765072,53420,0,680192,What lash searums do you recommend that is cheap,,0,2025-06-10 01:27:39+00:00,2025-06-10 01:27:39+00:00,What lash searums do you recommend that is cheap,mild gibberish
youtube#comment,1930534,8311,0,376232,I'm so happy thanks for the song â¤â¤â¤â¤ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰,,3,2025-06-13 15:08:56+00:00,2025-06-13 15:08:56+00:00,I'm so happy thanks for the song â¤â¤â¤â¤ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰,noise
youtube#comment,1885355,8311,0,2401249,Muito preciosa ðŸ’Ž,,1,2025-06-13 21:19:16+00:00,2025-06-13 21:19:16+00:00,Muito precious ðŸ’ž,noise
youtube#comment,321917,4942,0,1702439,"Como carajo usas una gorra pobre fracasado? Jajaja lo que es ser un bruto e ignorante como vos, 1 seguidor tenes pobre",2071435.0,0,2023-12-31 23:23:41+00:00,2023-12-31 23:23:41+00:00,"How did you use a poor failed cap? Hahaha what it is to be a brute and ignorant as you, 1 follower you have poor",mild gibberish
youtube#comment,998655,21292,0,1487299,Plz toner recipe 😊,,0,2025-04-22 17:20:34+00:00,2025-04-22 17:20:34+00:00,PLZ TONER RECIPE 😊,mild gibberish
youtube#comment,3860202,4942,0,84256,ðŸ˜®ðŸ˜®ðŸ˜®ðŸ˜®ðŸ˜®ðŸ˜®,,0,2023-12-12 13:24:10+00:00,2023-12-12 13:24:10+00:00,ðÿ˜®ðÿ˜˜˜˜˜˜˜˜˜˜˜®,mild gibberish
youtube#comment,4562024,4942,0,2619720,Everything looks great except the red hat on backwards. That look is passed.,,0,2023-12-27 07:37:57+00:00,2023-12-27 07:37:57+00:00,Everything looks great except the red hat on backwards. That look is passed.,clean
youtube#comment,4419996,15366,0,1229207,Can you comb or brush through it without it coming out?,,0,2022-09-23 19:47:50+00:00,2022-09-23 19:47:50+00:00,Can you comb or brush through it without it coming out?,clean
youtube#comment,212758,48688,0,2767525,❤❤❤❤❤,2766395.0,0,2023-05-21 01:16:49+00:00,2023-05-21 01:16:49+00:00,❤❤❤❤❤,mild gibberish
youtube#comment,4476804,48707,0,1817574,❤❤❤❤,,0,2024-12-18 14:47:43+00:00,2024-12-18 14:47:43+00:00,❤❤❤❤,mild gibberish
youtube#comment,4194369,30692,0,1522066,Bhaii lacto calamine pe video bna do,,0,2020-03-04 09:41:38+00:00,2020-03-04 09:41:38+00:00,Bhaii Lacto Calamine Pe Video Bna do,noise
youtube#comment,2848778,30692,0,1753202,I still dont understand should I apply wax first and then blow dry or blow dry first then apply wax. As I dont own a pre styler. Btw tigi bed head operation really is an amazing wax. But I cant use it as a pre styler,,1,2020-02-12 09:59:15+00:00,2020-02-12 09:59:15+00:00,I still dont understand should I apply wax first and then blow dry or blow dry first then apply wax. As I dont own a pre styler. Btw tigi bed head operation really is an amazing wax. But I cant use it as a pre styler,mild gibberish
youtube#comment,2119400,4942,0,1818185,Bhhh,,0,2023-12-20 15:52:53+00:00,2023-12-20 15:52:53+00:00,BHHH,noise
youtube#comment,2084275,15366,0,1992873,Is there a semi permanent hair dye out there that is color changing?,,0,2022-09-23 19:23:58+00:00,2022-09-23 19:23:58+00:00,Is there a semi permanent hair dye out there that is color changing?,clean
youtube#comment,2103602,4942,0,492496,â¤ðŸ˜‚â¤ðŸ˜‚â¤,,0,2024-06-15 23:33:47+00:00,2024-06-15 23:33:47+00:00,â ¤ ¤ ¤ ¤ ¤,noise
youtube#comment,2514,30692,0,780506,@sharshot adkari Already plenty videos on that topic is online on the channel.,1698557.0,0,2020-02-12 13:10:57+00:00,2023-11-05 23:26:28+00:00,@sharshot adkari Already plenty videos on that topic is online on the channel.,mild gibberish
youtube#comment,4682173,48688,0,3319101,💥💥,,1,2023-05-13 03:10:02+00:00,2023-05-13 03:10:02+00:00,💥💥,mild gibberish
youtube#comment,416283,47623,0,187441,True😂😂❤,2521714.0,1,2024-11-13 00:24:32+00:00,2024-11-13 00:24:32+00:00,True😂😂❤,mild gibberish
youtube#comment,1264901,30692,0,2598068,Does anyone know the title of the intro song,,0,2020-02-17 11:54:03+00:00,2020-02-17 11:54:03+00:00,Does anyone know the title of the intro song,clean
youtube#comment,2415719,4942,0,205534,Niceâ¤,,0,2024-07-10 10:19:26+00:00,2024-07-10 10:19:26+00:00,Niceâ ¤,mild gibberish
youtube#comment,2902730,48688,0,2034315,Elegant makeover,,1,2023-05-13 05:29:46+00:00,2023-05-13 05:29:46+00:00,Elegant makeover,clean
